({'metric': 'haversine', 'n_neighbors': 55, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 55, 'weights': 'distance'}, nan)
({'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}, 0.6313727910020922)
({'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'distance'}, 0.6313727910020922)
({'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}, 0.594070783875201)
({'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'}, 0.6205010378135059)
({'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}, 0.6219221732556371)
({'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}, 0.6224950707503116)
({'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}, 0.6138047933893465)
({'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}, 0.6148935628131624)
({'metric': 'minkowski', 'n_neighbors': 8, 'weights': 'uniform'}, 0.5903693478766324)
({'metric': 'minkowski', 'n_neighbors': 8, 'weights': 'distance'}, 0.6102857001742578)
({'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'}, 0.5899828570235263)
({'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}, 0.5920724433259408)
({'metric': 'minkowski', 'n_neighbors': 21, 'weights': 'uniform'}, 0.5791753005705679)
({'metric': 'minkowski', 'n_neighbors': 21, 'weights': 'distance'}, 0.5818307811750014)
({'metric': 'minkowski', 'n_neighbors': 34, 'weights': 'uniform'}, 0.5588592584663296)
({'metric': 'minkowski', 'n_neighbors': 34, 'weights': 'distance'}, 0.5680760539611363)
({'metric': 'minkowski', 'n_neighbors': 55, 'weights': 'uniform'}, 0.5494336074637042)
({'metric': 'minkowski', 'n_neighbors': 55, 'weights': 'distance'}, 0.5543511181721736)

Best parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'} - 0.6313727910020922
